#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
0.0,100,7.366855
0.0,9,7.525366
0.0,100,14.65165
0.0,100,14.857216
,9,0.569609
-1.0,3,0.571071
-1.0,12,0.576602
-1.0,34,0.592294
-1.0,6,0.595283
0.0,13,0.601521
-1.0,12,0.608636
-1.0,9,0.612974
-1.0,9,0.61739
0.0,7,0.620824
-1.0,19,0.630864
-1.0,5,0.633274
0.0,7,0.636774
-1.0,9,0.641664
-1.0,7,0.645072
-1.0,9,0.649419
-1.0,8,0.653414
0.0,9,0.658321
-1.0,10,0.663182
-1.0,6,0.666101
-1.0,5,0.668548
-1.0,9,0.673772
-1.0,18,0.682504
-1.0,6,0.685385
-1.0,6,0.689237
-1.0,13,0.695468
-1.0,9,0.699853
0.0,17,0.709159
-1.0,6,0.71211
-1.0,16,0.719821
-1.0,13,0.726983
-1.0,6,0.729969
-1.0,12,0.735825
-1.0,16,0.744581
-1.0,11,0.750075
0.0,7,0.754048
0.0,8,0.758429
0.0,16,0.766285
-1.0,5,0.768735
-1.0,6,0.772638
-1.0,8,0.776649
-1.0,7,0.780016
-1.0,4,0.782117
-1.0,8,0.785939
-1.0,9,0.790975
0.0,4,0.793049
-1.0,4,0.794991
0.0,4,0.796939
0.0,2,0.798036
-1.0,8,0.801854
-1.0,6,0.80564
-1.0,9,0.810051
-1.0,9,0.814685
-1.0,5,0.817176
-1.0,7,0.821065
-1.0,6,0.82444
0.0,22,0.835216
0.0,5,0.838585
-1.0,15,0.845909
-1.0,30,0.861392
0.0,7,0.864938
-1.0,12,0.871147
-1.0,5,0.873954
-1.0,5,0.876454
-1.0,5,0.878912
-1.0,4,0.881039
1.0,9,0.885557
-1.0,8,0.890265
-1.0,5,0.89279
0.0,8,0.896675
-1.0,5,0.89922
-1.0,5,0.901676
0.0,5,0.904728
-1.0,5,0.907561
0.0,8,0.911639
-1.0,9,0.916001
-1.0,25,0.928885
-1.0,19,0.938839
0.0,13,0.945127
-1.0,4,0.947076
-1.0,20,0.957414
-1.0,4,0.959521
0.0,11,0.964875
0.0,10,0.969618
-1.0,13,0.977193
-1.0,5,0.979653
-1.0,13,0.985982
-1.0,12,0.992601
-1.0,11,0.998081
-1.0,6,1.001056
-1.0,13,1.008246
-1.0,9,1.012893
1.0,4,1.015187
-1.0,11,1.021145
-1.0,12,1.027586
-1.0,7,1.031068
-1.0,12,1.037007
0.0,6,1.040644
-1.0,4,1.042718
0.0,6,1.045585
-1.0,25,1.05807
